id,event,dtstart,dtend,venue,address,town,area,country,latitude,longitude
46,"Scoil Acla 2006","2006-07-24 09:00:00","2006-07-30 12:00:00","Various Venues",,"Achill Island",Mayo,Ireland,53.95598984,-9.97310066
26,"Dayton Irish Arts Institute","2006-07-25 00:00:00","2006-06-27 00:00:00","University Of Dayton Art Street",,Dayton,Ohio,USA,39.75894928,-84.19160461
56,"Four-day Music Courses With Julie Fowlis, Éamon Doorley & Ross Martin","2006-07-25 00:00:00","2006-07-28 00:00:00","Sabhal Mòr Ostaig",Teangue,Sleat,"Isle Of Skye",Scotland,57.11152649,-5.85412502
17,"North Atlantic Fiddle Convention","2006-07-26 00:00:00","2006-07-30 00:00:00","Various Venues",,Aberdeen,Aberdeenshire,Scotland,57.14057541,-2.18056512
58,"The World Championships","2006-07-27 00:00:00","2006-07-30 00:00:00","2 Gloucester St",,Belfast,Antrim,"Northern Ireland",54.57349396,-5.94357824
27,"Dayton Celtic Festival","2006-07-28 00:00:00","2006-07-30 00:00:00",Riverscape,,Dayton,Ohio,USA,39.75894928,-84.19160461
34,"Great American Irish Festival","2006-07-28 00:00:00","2006-07-29 00:00:00","Herkimer Fairgrounds",,Herkimer,"New York",USA,43.02562714,-74.98599243
69,"The Hardraw Gathering","2006-07-28 00:00:00","2006-07-30 00:00:00","Green Dragon Inn",,Hardraw,Yorkshire,England,54.31647873,-2.20570803
39,"Third Annual Music In The Mountains","2006-07-29 00:00:00","2006-07-29 00:00:00","Our Summer Community",,Scranton,Pennsylvania,USA,41.40896988,-75.66241455
65,"Ceol Na GConallach - The Donegal Sessions","2006-07-29 20:00:00","2006-07-29 22:15:00","Various Venues",,Kilcar,Donegal,Ireland,54.63311005,-8.60491085
40,"Concert With Alasdair Fraser & Natalie Haas","2006-08-02 20:00:00","2006-08-02 22:15:00","Cecil Sharp House","2 Regent's Park Road",Camden,London,England,51.53815460,-0.14930651
71,"Alasdair Fraser (fiddle) & Natalie Haas (cello) - London Concert","2006-08-02 20:00:00","2006-08-02 22:15:00","Cecil Sharp House","2 Regent's Park Road",Camden,London,England,51.53815460,-0.14930651
72,"Trouble In The Kitchen & Dev'lish Mary","2006-08-03 18:30:00","2006-08-03 22:30:00","The Artery","Moor Street, Fitzroy",Melbourne,Victoria,Australia,-37.80171585,144.97904968
73,"Sidmouth Folk Week","2006-08-04 00:00:00","2006-08-11 00:00:00","Various Venues",,Sidmouth,Devon,England,50.67864990,-3.23756003
77,"James Morrison Traditional Music Festival","2006-08-04 00:00:00","2006-08-06 00:00:00","Various Venues",,Riverstown,Sligo,Ireland,54.13043976,-8.39525032
70,"ESB BEO Celtic Music Festival","2006-08-05 00:00:00","2006-08-20 00:00:00","National Concert Hall","Earlsfort Terrace",Dublin,Dublin,Ireland,53.33474731,-6.25900984
78,"Jamie Laval And Ashley Broder","2006-08-05 00:00:00","2006-08-05 00:00:00","The Red Light Cafe","553 Amsterdam Ave NE",Atlanta,Georgia,USA,33.78821945,-84.36799622
74,"Ceol Na GConallach – The Donegal Sessions","2006-08-05 20:00:00","2006-08-05 22:15:00","Various Venues",,Kilcar,Donegal,Ireland,54.63311005,-8.60491085
66,"Turloughmore Ceili Band","2006-08-06 16:00:00","2006-08-06 20:00:00","Commodore John Barry Arts And Cultural Center","6815 Emlen Street",Philadelphia,Pennsylvania,USA,40.04999542,-75.19081879
68,"Shetland Fiddle Frenzy Festival","2006-08-07 00:00:00","2006-08-13 00:00:00","Various Venues",,Lerwick,Shetland,Scotland,60.15582275,-1.14456904
79,"Piping Live","2006-08-07 00:00:00","2006-08-13 00:00:00","Various Venues",,Glasgow,Glasgow,Scotland,55.86167145,-4.25833464
12,"Kevin Burke Workshop","2006-08-08 00:00:00","2006-08-11 00:00:00","Cascade Community School Of Music","2150 Studio Road",Bend,Oregon,USA,44.07142258,-121.29869080
57,"Tradtional Irish Music With Edel Fox, Ronan O'Flaherty And Ryan McGiver","2006-08-10 08:00:00","2006-08-10 00:00:00","Irish American Heritage Center","4626 N. Knox Avenue",Chicago,Illinois,USA,41.96527863,-87.74449921
28,"Celtic Roots Festival","2006-08-11 00:00:00","2006-08-13 00:00:00","Lions Harbour Park",,Goderich,Ontario,Canada,43.74406433,-81.72023773
76,"Goderich 2006 Celtic Roots Festival","2006-08-11 00:00:00","2008-08-13 00:00:00","Lions Harbour Park",,Goderich,Ontario,Canada,43.74406433,-81.72023773
62,"David Munnelly Band Concert","2006-08-12 20:00:00","2006-08-12 23:00:00","Hibernian Cultural Centre","19 Temple Street",Worcester,Massachusetts,USA,42.25909042,-71.79759979
80,"Ceol Na GConallach – The Donegal Sessions","2006-08-12 20:00:00","2006-08-12 22:15:00","Various Venues",,Kilcar,Donegal,Ireland,54.63311005,-8.60491085
23,"The World Fleadh Irish Traditional And Celtic Music Festival","2006-08-14 00:00:00","2006-08-20 00:00:00","The World Fleadh Village","Tinteán Theatre",Ballybunion,Kerry,Ireland,52.50986481,-9.67194462
21,"Éigse Mrs. Crotty 2006","2006-08-16 00:00:00","2006-08-20 00:00:00","Various Venues",,Kilrush,Clare,Ireland,52.63629532,-9.48720360
24,"Masters Of Tradition Festival","2006-08-16 00:00:00","2006-08-20 00:00:00","Bantry House","13 Glengarriff Road",Bantry,Cork,Ireland,51.68044281,-9.44899082
14,"Mull Of Kintyre Music Festival","2006-08-17 00:00:00","2006-08-20 00:00:00",Campbeltown,,Campbeltown,Argyll,Scotland,55.42411804,-5.60537386
75,"Whitby Folk Week","2006-08-19 00:00:00","2006-08-25 00:00:00","Various Venues",,Whitby,"North Yorkshire",England,54.48633575,-0.61334699
82,"Darren Maloney With Vonnie Quinn, John Redmond And Dave Fahy","2006-08-19 20:00:00","2006-08-19 00:00:00","Katherine Cornell Theatre",,"Marthas Vineyard",Massachusetts,USA,41.38049698,-70.64546967
91,"Ceol Na GConallach - The Donegal Sessions","2006-08-19 20:00:00","2006-08-19 22:15:00","Various Venues",,Kilcar,Donegal,Ireland,54.63311005,-8.60491085
42,"Fleadh Cheoil Na HÉireann","2006-08-25 00:00:00","2006-08-27 00:00:00","Various Venues",,Letterkenny,Donegal,Ireland,54.95584106,-7.73427868
89,"Festival Of World Cultures 2006","2006-08-25 00:00:00","2006-08-27 00:00:00","Various Venues",,"Dún Laoghaire",Dublin,Ireland,53.29227066,-6.13602638
95,"Ceol Na GConallach - The Donegal Sessions","2006-08-26 20:00:00","2006-08-26 22:15:00","Various Venues",,Kilcar,Donegal,Ireland,54.63311005,-8.60491085
9,"Gig 'n The Bann","2006-08-31 00:00:00","2006-09-03 00:00:00","The Factory",,Portglenone,Antrim,"Northern Ireland",54.77632141,-6.35607147
83,"Irish Music Weekend","2006-09-01 00:00:00","2006-09-03 00:00:00","Various Venues",,Mells,Somerset,England,51.23902130,-2.38731503
31,"Wallingford BunkFest","2006-09-01 10:00:00","2006-09-03 23:45:00","Various Venues",,Wallingford,Oxfordshire,England,51.59874344,-1.12871206
41,"Patrick Street","2006-09-01 20:00:00","2006-09-01 00:00:00","Arts Depot","Tally Ho Corner","North Finchley",London,England,51.61371994,-0.17701501
93,"Book Launch - Donegal Fiddle Workshop","2006-09-02 18:00:00","2006-09-02 00:00:00","Commodore John Barry Arts And Cultural Center","6815 Emlen Street",Philadelphia,Pennsylvania,USA,40.04999542,-75.19081879
94,"32nd Annual Festival Of Traditional Irish Music & Dance","2006-09-07 00:00:00","2006-09-09 00:00:00","Commodore John Barry Arts And Cultural Center","6815 Emlen Street",Philadelphia,Pennsylvania,USA,40.04999542,-75.19081879
90,"Kangaroo Valley Folk Festival","2006-09-08 00:00:00","2006-09-10 00:00:00","Kangaroo Valley Showground",,"Kangaroo Valley","New South Wales",Australia,-34.73412323,150.52587891
53,"4. Irish Music Workshop Weekend","2006-09-08 18:00:00","2006-09-10 15:00:00","Alte Schule","Schulsstraße 3","Neu Anspach",Hessen,Germany,50.28895950,8.50767994
108,"Ceol Na GConallach - The Donegal Sessions","2006-09-09 20:00:00","2006-09-09 22:30:00","Various Venues",,Kilcar,Donegal,Ireland,54.63311005,-8.60491085
60,"Celtic Festival 2006","2006-09-09 21:00:00","2006-09-10 19:00:00","Chemin De Feuquières",,Grandvilliers,Ile-de-France,France,48.53992844,2.88414598
88,"Gundagai Irish Music Festival","2006-09-13 00:00:00","2006-09-17 00:00:00","Various Venues",,Gundagai,"New South Wales",Australia,-35.06533813,148.10717773
67,"Johnny Keenan Banjo Festival","2006-09-14 00:00:00","2006-09-17 00:00:00","Various Venues",,Longford,Longford,Ireland,53.72763062,-7.79325724
106,"Sláinte & Goramahagat","2006-09-15 20:00:00","2006-09-15 00:00:00",QBUS,"Braschlergasse 10",Uster,Zürich,Switzerland,47.34844589,8.71997833
81,"Atlanta's Fall Irish Festival","2006-09-16 14:00:00","2006-09-16 19:00:00","Doubletree Hotel Atlanta/Roswell","1075 Holcomb Bridge Road",Atlanta,Georgia,USA,34.02214050,-84.32998657
84,"Fanai (Faw-NEE) - Irish Trad Trio (John Walsh, Dan Possumato, Jamie O'Brien)","2006-09-16 20:00:00","2006-09-16 23:00:00","The Coatesville Cultural Society","143 E. Lincoln Highway",Coatesville,Pennsylvania,USA,39.98321915,-75.82308197
110,"Ceol Na GConallach - The Donegal Sessions","2006-09-16 20:00:00","2006-09-16 22:15:00","Various Venues",,Kilcar,Donegal,Ireland,54.63311005,-8.60491085
104,"Leahy Concert To Air On PBS 45 & 49","2006-09-16 21:00:00","2006-09-16 22:30:00","PBS 45 & 49","P.O. Box 5191",Cleveland,Ohio,USA,41.49949646,-81.69541168
116,"Special Session - Half Way To St. Patrick's Day","2006-09-17 18:00:00","2006-09-17 22:00:00","The Porterhouse","Route 304",Montvale,"New Jersey",USA,41.11441040,-73.99459839
117,"New Whistle Class","2006-09-18 19:00:00","2006-11-06 21:00:00","Episcopal Church Hall, Invergowrie",,Invergowrie,Angus,Scotland,56.46075058,-3.06171608
112,"Calluna With Special Guest Singer Christine Kydd","2006-09-19 19:30:00","2006-09-19 00:00:00","Gardner Memorial Church","St Ninian's Square",Brechin,Angus,Scotland,56.73226166,-2.65341091
120,"Chris Stout With Catriona MacKay","2006-09-20 20:00:00","2006-09-20 23:00:00","Pleasance Cabaret Bar","Pleasance Courtyard",Edinburgh,Lothian,Scotland,56.46298981,-4.22976780
100,"The Blythe Hill Tavern Session's 3rd Birthday Bash","2006-09-21 21:00:00","2006-09-21 00:30:00","The Blythe Hill Tavern","319 Stanstead Road, Forest Hill",Lewisham,London,England,51.44237518,-0.03376240
113,"Eoin Kelly Memorial Weekend","2006-09-22 00:00:00","2006-09-24 00:00:00","Dromore, Co. Tyrone",,Dromore,Tyrone,"Northern Ireland",54.40981293,-7.02002811
63,"8th Open House Festival","2006-09-27 00:00:00","2006-10-01 00:00:00","The Cathedral Quarter",,Belfast,Antrim,"Northern Ireland",54.57349396,-5.94357824
130,"Informal Muisc Lessons Suitable For Children And Adults","2006-09-27 18:00:00","2007-07-31 18:00:00","Sheffield Irish Centre","Alexandra Hotel, Exchange Street",Sheffield,Yorkshire,England,52.35551834,-1.17431974
115,"CCE Gerry Whelan Remembered","2006-09-28 09:00:00","2006-10-01 09:00:00","Various Venues",,Cootehill,Cavan,Ireland,54.07250214,-7.08235407
111,"Donald Shaw And Charlie McKerron","2006-09-28 19:30:00","2006-09-28 00:00:00","Gardner Memorial Church","St Ninian's Square",Brechin,Angus,Scotland,56.73226166,-2.65341091
54,"Seisiún Na H-Éireann - Best Trad Session In 2006","2006-09-29 00:00:00","2006-10-01 00:00:00","Various Venues",,Quin,Clare,Ireland,52.81588745,-8.86420059
126,"Fest'n'Furious - Dundee Traditional Music Festival","2006-09-29 00:00:00","2006-10-02 00:00:00","The Reading Rooms And The Bonar Hall",,Dundee,Angus,Scotland,56.46201706,-2.97072101
134,Folkelarm,"2006-09-29 00:00:00","2006-10-01 00:00:00","Fabrikken (The Factory)","Nedregt. 7",Oslo,Oslo,Norway,59.91986084,10.75446415
114,"Ash And Rowan In Concert","2006-09-29 21:00:00","2006-09-29 01:00:00","Tir Na Nog","201 E. Pratt St.",Baltimore,Maryland,USA,39.28615189,-76.61109924
99,"Eminence Irish Fest 06","2006-09-30 10:00:00","2006-10-01 06:00:00","Ren Faire Ground","Route 22 East / Elm Street",Eminence,Kentucky,USA,38.37152863,-85.17964935
128,Deiseal,"2006-09-30 20:00:00","2006-09-30 00:00:00",Cultúrlann,"216 Falls Road",Belfast,Antrim,"Northern Ireland",54.59630966,-5.95453262
127,"Songs To Sifle The Flames Of Discontent  (Dick Gaughan, Barry Kerr & Alan Burke)","2006-10-01 19:30:00","2006-10-01 00:00:00",Cultúrlann,"216 Falls Road",Belfast,Antrim,"Northern Ireland",54.59630966,-5.95453262
125,"Adult Fiddle Classes","2006-10-02 18:30:00","2006-10-02 00:00:00","Exmouth Market Centre",,Islington,London,England,51.53897858,-0.10496350
103,"The Irish Festival Of Oulu","2006-10-05 00:00:00","2006-10-08 00:00:00","Various Venues",,Oulu,Oulu,Finland,65.01209259,25.46507645
129,"Trouble In The Kitchen","2006-10-05 08:30:00","2006-10-05 00:00:00","The Limerick Castle","161 Errol Street",Melbourne,Victoria,Australia,-37.80106354,144.94973755
107,"East Coast Tionól","2006-10-06 17:00:00","2006-10-09 13:00:00","Ferncliff Resort","129 Rt 67A","East Durham","New York",USA,42.37219238,-74.08615875
102,"Workshop And Concert With Mary Mac Namara And Catherine Mc Evoy","2006-10-06 18:00:00","2006-10-07 00:00:00","Circolo Gianni Bosio","Via Di Sant'Ambrogio, 4",Rome,Lazio,Italy,41.89350128,12.47770977
55,"Banjaxed! The Great Irish Tenor Banjo Concert","2006-10-06 20:00:00","2006-10-06 00:00:00","Moravian Church","30th Street At Lexington Avenue",Manhattan,"New York",USA,40.74387360,-73.98153687
138,"Concert Featuring Pipers Tommy Keane And Marion McCarthy, And Fiddlers Kevin Crehan And Patrick Ourceau","2006-10-07 07:30:00","2006-10-07 00:00:00","Ferncliff Resort","129 Rt 67A","East Durham","New York",USA,42.37219238,-74.08615875
118,"Mick O'Brien And Caoimhín Ó Raghallaigh","2006-10-07 13:00:00","2006-10-07 12:00:00","St Catherine's Social Club","School Lane, Didsbury",Manchester,"Greater Manchester",England,53.41656113,-2.22409582
121,"Comhaltas (CCE) 2006 Concert Tour Of N. America","2006-10-10 08:00:00","2006-10-10 00:00:00","Irish American Center","297 Willis Avenue",Mineola,"New York",USA,40.75003052,-73.64195251
123,"Irish Traditional Lessons","2006-10-12 07:00:00","2007-10-12 10:00:00","Tir Na Nog Irish Pub","208 Blount St",Raleigh,"North Carolina",USA,35.77788544,-78.63661194
101,"2006 Southern California Tionól","2006-10-13 10:30:00","2006-10-15 18:00:00","The McKeagney Residence","29251 Country Hills Rd.","San Juan Capistrano",California,USA,33.53850937,-117.67082977
85,"Button Accordion Wizard James Keane","2006-10-14 20:00:00","2006-10-14 23:00:00","The Coatesville Cultural Society","143 E. Lincoln Highway",Coatesville,Pennsylvania,USA,39.98321915,-75.82308197
137,"Marcas Ó Murchú","2006-10-14 20:00:00","2006-10-14 00:00:00",Cultúrlann,"216 Falls Road",Belfast,Antrim,"Northern Ireland",54.59630966,-5.95453262
151,"Patrick Ourceau And Brian Holleran In Concert","2006-10-19 21:00:00","2006-10-19 00:00:00","The Blarney Stone",,Toronto,Ontario,Canada,43.65322495,-79.38318634
140,"Liverpool Irish Festival","2006-10-20 00:00:00","2006-11-12 00:00:00","Various Venues",,Liverpool,Merseyside,England,53.40906906,-2.97715402
49,"Upper Potomac Irish Weekend","2006-10-20 10:00:00","2006-10-22 01:00:00","Hilltop House",,"Harpers Ferry","West Virginia",USA,39.32537842,-77.73888397
150,"Wellington Folk Festival","2006-10-20 15:00:00","2006-10-23 12:00:00",Wainuiomata,"Brookfield Scout Campsite",Wellington,Wellington,"New Zealand",-41.28646088,174.77622986
153,"Edel Sullivan Album Launch Party","2006-10-21 18:30:00","2006-10-21 00:00:00","The Corner House","7 Coburg Street",Cork,Cork,Ireland,51.90163803,-8.47097492
92,"Dave Williams Weekend","2006-10-27 00:00:00","2006-10-29 00:00:00","The West Wing And The Herschel Arms",,Slough,Berkshire,England,51.52175903,-0.61878288
105,"San Benedetto Folkfest","2006-10-27 00:00:00","2006-10-29 00:00:00","Various Venues",,"San Benedetto In Alpe",Toscana,Italy,43.98501968,11.68750000
158,"Sessions At The Shannon","2006-10-27 00:00:00","2006-10-30 00:00:00","Various Venues",,Carrick-on-Shannon,Leitrim,Ireland,53.94518280,-8.08637619
159,"Finvarra's Wren concert","2006-10-27 08:00:00","2006-10-27 11:00:00","Baile Corcaigh","1426 Bagley",Detroit,Michigan,USA,42.32973480,-83.06517029
131,"The Sheffield Folk Festival","2006-10-27 16:00:00","2006-10-29 23:00:00","Various Venues",,Sheffield,Yorkshire,England,53.38113022,-1.47008502
142,"Irish Music Concert & Halloween Fest","2006-10-27 20:00:00","2006-10-27 00:00:00","Barron Arts Center","582 Rahway Avenue",Woodbridge,"New Jersey",USA,40.56134033,-74.27401733
148,"Le Grand Bal De Bath","2006-10-28 00:00:00","2006-10-29 00:00:00","St Gregory's School","Combe Hay Lane",Bath,Somerset,England,51.34152603,-2.39027119
86,"Claire Keville & Pat O'Connor - Irish Traditional Music On Concertina & Fiddle","2006-10-28 20:00:00","2006-10-28 23:00:00","The Coatesville Cultural Society","143 E. Lincoln Highway",Coatesville,Pennsylvania,USA,39.98321915,-75.82308197
136,"Claire Keville, Pat O'Connor, Pat Egan","2006-10-28 20:00:00","2006-10-28 00:00:00","The Coatesville Cultural Society","143 E. Lincoln Highway",Coatesville,Pennsylvania,USA,39.98321915,-75.82308197
141,"Caceres Irish Fleadh","2006-11-02 00:00:00","2006-11-05 00:00:00","Various Venues",,Cáceres,Extremadura,Spain,39.47553253,-6.37346649
119,"Copenhagen Irish Festival","2006-11-02 19:00:00","2006-11-05 00:00:00","Copenhagen Irish Festival","St. Kannike Stræde 19",Copenhagen,Copenhagen,Denmark,55.67609787,12.56833744
133,"4th Irish Workshop","2006-11-03 00:00:00","2006-11-05 00:00:00",VHS-Nord,"Dr.-Schmitt-Str. 6",Ismaning,Bayern,Germany,48.22630310,11.67642117
132,"Music Workshop Flute, Harp, Violin, Piano","2006-11-03 10:00:00","2006-11-05 18:00:00","Ballymaloe House",,Shanagarry,Cork,Ireland,51.85331345,-8.02128887
149,"Musicians' Workshop","2006-11-04 15:00:00","2006-11-04 17:00:00","Ida Noyes Hall, University Of Chicago","1212 East 59th St.",Chicago,Illinois,USA,41.78871155,-87.59558868
97,"House Concert & Session With Paddy Keenan","2006-11-04 20:00:00","2006-11-04 23:00:00","Irish American Association Of Northwest Jersey","352 Richard Mine Road",Rockaway,"New Jersey",USA,40.91407013,-74.57511139
165,"Altan as part of Folk In The Fall","2006-11-05 20:00:00","2006-11-05 22:30:00","Queen Elizabeth Hall","Southbank Centre",London,London,England,51.50608063,-0.11630420
143,"Masters Of The Celtic Harp: Grainne Hambly & William Jackson","2006-11-07 19:00:00","2006-11-07 00:00:00","Michael Servetus Unitarian Universalist Fellowship","4505 E. 18th St.",Vancouver,Washington,USA,45.63476562,-122.62289429
147,"The Leeds Gathering","2006-11-09 00:00:00","2006-11-13 00:00:00","Various Venues",,Leeds,Yorkshire,England,53.80127716,-1.54856706
161,"Claire Kevill and Pat O'Connor guest host session","2006-11-10 20:00:00","2006-11-10 23:00:00","Irish American Association Of Northwest Jersey","352 Richard Mine Road",Rockaway,"New Jersey",USA,40.91407013,-74.57511139
164,"Kevin Burke Master Class Workshop","2006-11-11 11:00:00","2006-11-11 01:00:00","Irish Cultural And Heritage Center","2133 W. Wisconsin Ave.",Milwaukee,Wisconsin,USA,43.03828049,-87.94046021
168,"Eoin Dillon and Friends","2006-11-11 20:30:00","2006-11-11 23:30:00","Áras Chrónáin Ionad Cultúir","Watery Lane, Orchard Road",Clondalkin,Dublin,Ireland,53.32143021,-6.39319992
162,"Highland, Heath and Holler","2006-11-12 07:30:00","2006-11-12 10:30:00","Jaqua Concert Hall",,Eugene,Oregon,USA,44.05207062,-123.08675385
16,"13th William Kennedy Piping Festival","2006-11-15 00:00:00","2006-11-19 00:00:00","Various Venues",,Antrim,Antrim,"Northern Ireland",54.71363068,-6.21428013
13,"Fiddle 2006","2006-11-17 00:00:00","2006-11-19 00:00:00","Assembly Rooms","George Street",Edinburgh,Lothian,Scotland,55.95374680,-3.19621968
174,"Enniskillen Winter Arts Festival","2006-11-17 00:00:00","2006-11-26 00:00:00","Various Venues",,Enniskillen,Fermanagh,"Northern Ireland",54.34363174,-7.63092995
156,"Gerry O'Connor (Fiddle) & More - Concert","2006-11-17 20:00:00","2006-11-17 22:00:00","The Powerstation","Blenheim Road",Cwmbran,"Cardiff And South Wales Coast",Wales,51.64866257,-3.04034710
144,"Tropical World Music Concert","2006-11-17 20:30:00","2006-11-17 23:45:00",Sagya,"Lichtensteinstrasse 130a",Vienna,Vienna,Austria,48.20817566,16.37381935
170,"Music And Songwriting Workshop","2006-11-18 12:00:00","2006-11-18 23:00:00","The Crown Hotel","Platt Lane",Wigan,"Greater Manchester",England,53.59725189,-2.64184284
145,"Tropical World Music Concert","2006-11-18 20:00:00","2006-11-18 23:45:00","Down Under","Magdalenenstrasse 32",Vienna,Vienna,Austria,48.19433594,16.35237885
169,"Fingal:  Randal Bays, Daithi Sproule, James Keane","2006-11-18 20:30:00","2006-11-18 23:00:00","Commodore John Barry Arts And Cultural Center","6815 Emlen Street",Philadelphia,Pennsylvania,USA,40.04999542,-75.19081879
135,"Music Workshop: Playing For Irish Set Dancing","2006-11-19 09:30:00","2006-11-19 12:30:00","St Andrew's Church Hall",,Colyton,Devon,England,50.74063110,-3.07042193
167,"Triban Plus Support","2006-11-24 20:30:00","2006-11-24 00:00:00","Hafod Arms Hotel, Devil's Bridge",,Aberystwyth,Ceredigion,Wales,52.37653351,-3.85863400
171,"Mary Bergin and Garry O'Briain","2006-11-25 20:30:00","2006-11-25 22:30:00","Teach Cheoil",,Corofin,Clare,Ireland,52.94482040,-9.06408787
176,"Forum For Music In Ireland","2006-11-27 10:30:00","2006-11-27 16:30:00","University Concert Hall","University Of Limerick",Limerick,Limerick,Ireland,52.67316055,-8.56970787
177,"Noel Hill","2006-11-30 20:30:00","2006-11-30 00:00:00","Commodore John Barry Arts And Cultural Center","6815 Emlen Street",Philadelphia,Pennsylvania,USA,40.04999542,-75.19081879
184,"Wexford Pipe and Song Weekend","2006-12-01 00:00:00","2006-12-03 00:00:00","Wexford Arts Centre",,Wexford,Wexford,Ireland,52.33916092,-6.46012449
109,"Noel Hill house concert","2006-12-02 20:00:00","2006-12-02 23:00:00","Irish American Association Of Northwest Jersey","352 Richard Mine Road",Rockaway,"New Jersey",USA,40.91407013,-74.57511139
